,legislation_number,url,congress,title,sponsor,date_of_introduction,date_submitted,committees,latest_action,bill_status,party,month,year
350672,H.R. 8064,https://www.congress.gov/bill/117th-congress/house-bill/8064,117th Congress (2021-2022),Advanced Manufacturing Jobs in America Act,"Rep. Torres, Norma J. [D-CA-35]",2022-06-14,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,June,2022
350673,H.R. 7921,https://www.congress.gov/bill/117th-congress/house-bill/7921,117th Congress (2021-2022),Trauma Informed Practices for Workforce Development Act,"Rep. Newman, Marie [D-IL-3]",2022-05-31,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,May,2022
350674,H.R. 7785,https://www.congress.gov/bill/117th-congress/house-bill/7785,117th Congress (2021-2022),Investing in Digital Skills Act,"Rep. Kilmer, Derek [D-WA-6]",2022-05-16,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,May,2022
350675,H.R. 7770,https://www.congress.gov/bill/117th-congress/house-bill/7770,117th Congress (2021-2022),Life Saving Leave Act,"Rep. Phillips, Dean [D-MN-3]",2022-05-13,,"House - Education and Labor, Oversight and Reform, House Administration","Referred to the Committee on Education and Labor, and in addition to the Committees on Oversight and Reform, and House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Democrat,May,2022
350676,H.R. 7767,https://www.congress.gov/bill/117th-congress/house-bill/7767,117th Congress (2021-2022),Strengthening Behavioral Health Benefits Act,"Rep. Courtney, Joe [D-CT-2]",2022-05-13,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,May,2022
350677,H.R. 7748,https://www.congress.gov/bill/117th-congress/house-bill/7748,117th Congress (2021-2022),Community-Based Workforce Development Act,"Rep. Lee, Susie [D-NV-3]",2022-05-12,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,May,2022
350678,H.R. 7740,https://www.congress.gov/bill/117th-congress/house-bill/7740,117th Congress (2021-2022),Employee and Retiree Access to Justice Act of 2022,"Rep. DeSaulnier, Mark [D-CA-11]",2022-05-12,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,May,2022
350679,H.R. 7717,https://www.congress.gov/bill/117th-congress/house-bill/7717,117th Congress (2021-2022),American Apprenticeship Act,"Rep. DeLauro, Rosa L. [D-CT-3]",2022-05-11,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,May,2022
350680,H.R. 7701,https://www.congress.gov/bill/117th-congress/house-bill/7701,117th Congress (2021-2022),Wage Theft Prevention and Wage Recovery Act,"Rep. DeLauro, Rosa L. [D-CT-3]",2022-05-10,,House - Education and Labor,Ordered to be Reported (Amended) by the Yeas and Nays: 27 - 19.,introduced,Democrat,May,2022
350681,H.R. 7540,https://www.congress.gov/bill/117th-congress/house-bill/7540,117th Congress (2021-2022),Safe Workplaces Act,"Rep. Neguse, Joe [D-CO-2]",2022-04-18,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,April,2022
350682,H.R. 7517,https://www.congress.gov/bill/117th-congress/house-bill/7517,117th Congress (2021-2022),Guaranteeing Overtime for Truckers Act,"Rep. Levin, Andy [D-MI-9]",2022-04-14,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,April,2022
350683,H.R. 7406,https://www.congress.gov/bill/117th-congress/house-bill/7406,117th Congress (2021-2022),Supportive Services Enhancement Act,"Rep. Omar, Ilhan [D-MN-5]",2022-04-05,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,April,2022
350684,H.R. 7392,https://www.congress.gov/bill/117th-congress/house-bill/7392,117th Congress (2021-2022),Strengthening Job Corps Act of 2022,"Rep. Wilson, Frederica S. [D-FL-24]",2022-04-04,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,April,2022
350685,H.R. 7390,https://www.congress.gov/bill/117th-congress/house-bill/7390,117th Congress (2021-2022),Expanding Labor Representation in the Workforce System Act,"Rep. Sherrill, Mikie [D-NJ-11]",2022-04-04,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,April,2022
350686,H.R. 7385,https://www.congress.gov/bill/117th-congress/house-bill/7385,117th Congress (2021-2022),TRAIN Act,"Rep. McBath, Lucy [D-GA-6]",2022-04-04,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,April,2022
350687,H.R. 7381,https://www.congress.gov/bill/117th-congress/house-bill/7381,117th Congress (2021-2022),YouthBuild for the Future Act,"Rep. Hayes, Jahana [D-CT-5]",2022-04-04,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,April,2022
350688,H.R. 7347,https://www.congress.gov/bill/117th-congress/house-bill/7347,117th Congress (2021-2022),Supporting Jobs through Evidence and Innovation Act,"Rep. Sherrill, Mikie [D-NJ-11]",2022-03-31,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,March,2022
350689,H.R. 7345,https://www.congress.gov/bill/117th-congress/house-bill/7345,117th Congress (2021-2022),CARE Act of 2022,"Rep. Roybal-Allard, Lucille [D-CA-40]",2022-03-31,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,March,2022
350690,H.R. 7342,https://www.congress.gov/bill/117th-congress/house-bill/7342,117th Congress (2021-2022),Diversifying Paths to Apprenticeships Act,"Rep. Norcross, Donald [D-NJ-1]",2022-03-31,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,March,2022
350691,H.R. 7323,https://www.congress.gov/bill/117th-congress/house-bill/7323,117th Congress (2021-2022),Expanding Reentry Employment Assistance Act,"Rep. Espaillat, Adriano [D-NY-13]",2022-03-31,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,March,2022
350692,H.R. 7318,https://www.congress.gov/bill/117th-congress/house-bill/7318,117th Congress (2021-2022),Navigating to Success Act,"Rep. Castro, Joaquin [D-TX-20]",2022-03-31,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,March,2022
350693,H.R. 7310,https://www.congress.gov/bill/117th-congress/house-bill/7310,117th Congress (2021-2022),Protecting America’s Retirement Security Act,"Rep. McBath, Lucy [D-GA-6]",2022-03-31,,"House - Education and Labor, Ways and Means",Ordered to be Reported (Amended) by Voice Vote.,introduced,Democrat,March,2022
350694,H.R. 7309,https://www.congress.gov/bill/117th-congress/house-bill/7309,117th Congress (2021-2022),Workforce Innovation and Opportunity Act of 2022,"Rep. Scott, Robert C. ""Bobby"" [D-VA-3]",2022-03-31,,"House - Education and Labor | Senate - Health, Education, Labor, and Pensions","Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",introduced,Democrat,March,2022
350695,H.R. 7284,https://www.congress.gov/bill/117th-congress/house-bill/7284,117th Congress (2021-2022),Informed Savers Act,"Rep. Wild, Susan [D-PA-7]",2022-03-30,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,March,2022
350696,H.R. 7161,https://www.congress.gov/bill/117th-congress/house-bill/7161,117th Congress (2021-2022),IT Service Corps Act,"Rep. Kilmer, Derek [D-WA-6]",2022-03-18,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,March,2022
350697,H.R. 7145,https://www.congress.gov/bill/117th-congress/house-bill/7145,117th Congress (2021-2022),ASSET Act,"Rep. Trahan, Lori [D-MA-3]",2022-03-17,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,March,2022
350698,H.R. 7106,https://www.congress.gov/bill/117th-congress/house-bill/7106,117th Congress (2021-2022),Empowering Individuals to Succeed Through Education and Workforce Training Act,"Rep. Smith, Adam [D-WA-9]",2022-03-16,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,March,2022
350699,H.R. 6938,https://www.congress.gov/bill/117th-congress/house-bill/6938,117th Congress (2021-2022),Job Protection Act,"Rep. Underwood, Lauren [D-IL-14]",2022-03-03,,"House - Education and Labor, Oversight and Reform, House Administration","Referred to the Committee on Education and Labor, and in addition to the Committees on Oversight and Reform, and House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Democrat,March,2022
350700,H.R. 6929,https://www.congress.gov/bill/117th-congress/house-bill/6929,117th Congress (2021-2022),Susan Muffley Act of 2022,"Rep. Kildee, Daniel T. [D-MI-5]",2022-03-03,,"House - Education and Labor, Ways and Means","Referred to the Committee on Education and Labor, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Democrat,March,2022
350701,H.R. 6922,https://www.congress.gov/bill/117th-congress/house-bill/6922,117th Congress (2021-2022),Continued Waiver of Interest on State Unemployment Loans during the Pandemic Act,"Rep. Davis, Danny K. [D-IL-7]",2022-03-03,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Democrat,March,2022
350702,H.R. 6850,https://www.congress.gov/bill/117th-congress/house-bill/6850,117th Congress (2021-2022),Salary Transparency Act,"Del. Norton, Eleanor Holmes [D-DC-At Large]",2022-02-25,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
350703,H.R. 6843,https://www.congress.gov/bill/117th-congress/house-bill/6843,117th Congress (2021-2022),Building Civic Bridges Act,"Rep. Kilmer, Derek [D-WA-6]",2022-02-25,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
350704,H.R. 6782,https://www.congress.gov/bill/117th-congress/house-bill/6782,117th Congress (2021-2022),Auto Reenroll Act of 2022,"Rep. Manning, Kathy E. [D-NC-6]",2022-02-18,,"House - Ways and Means, Education and Labor","Referred to the Committee on Ways and Means, and in addition to the Committee on Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Democrat,February,2022
350705,H.R. 6767,https://www.congress.gov/bill/117th-congress/house-bill/6767,117th Congress (2021-2022),Portable Benefits for Independent Workers Pilot Program Act,"Rep. DelBene, Suzan K. [D-WA-1]",2022-02-18,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
350706,H.R. 6756,https://www.congress.gov/bill/117th-congress/house-bill/6756,117th Congress (2021-2022),Workforce Opportunity for Returning Citizens Act,"Rep. Bourdeaux, Carolyn [D-GA-7]",2022-02-18,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
350707,H.R. 6746,https://www.congress.gov/bill/117th-congress/house-bill/6746,117th Congress (2021-2022),Lifetime Income For Employees Act,"Rep. Norcross, Donald [D-NJ-1]",2022-02-15,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
350708,H.R. 6723,https://www.congress.gov/bill/117th-congress/house-bill/6723,117th Congress (2021-2022),Gateway to Careers Act of 2022,"Rep. Adams, Alma S. [D-NC-12]",2022-02-15,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
350709,H.R. 6699,https://www.congress.gov/bill/117th-congress/house-bill/6699,117th Congress (2021-2022),Part-Time Worker Bill of Rights Act,"Rep. Schakowsky, Janice D. [D-IL-9]",2022-02-09,,"House - Education and Labor, House Administration, Oversight and Reform, Ways and Means","Referred to the Committee on Education and Labor, and in addition to the Committees on House Administration, Oversight and Reform, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Democrat,February,2022
350710,H.R. 6683,https://www.congress.gov/bill/117th-congress/house-bill/6683,117th Congress (2021-2022),ACTION for National Service Act,"Rep. Larson, John B. [D-CT-1]",2022-02-09,,"House - Education and Labor, Ways and Means, Natural Resources, Agriculture",Referred to the Subcommittee on Conservation and Forestry.,introduced,Democrat,February,2022
350711,H.R. 6670,https://www.congress.gov/bill/117th-congress/house-bill/6670,117th Congress (2021-2022),Schedules That Work Act,"Rep. DeLauro, Rosa L. [D-CT-3]",2022-02-09,,"House - Education and Labor, House Administration, Oversight and Reform, Judiciary","Referred to the Committee on Education and Labor, and in addition to the Committees on House Administration, Oversight and Reform, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Democrat,February,2022
350712,H.R. 6588,https://www.congress.gov/bill/117th-congress/house-bill/6588,117th Congress (2021-2022),Cyber Ready Workforce Act,"Rep. Lee, Susie [D-NV-3]",2022-02-03,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Democrat,February,2022
350713,H.R. 6569,https://www.congress.gov/bill/117th-congress/house-bill/6569,117th Congress (2021-2022),PLACE Act,"Rep. Pingree, Chellie [D-ME-1]",2022-02-02,,"House - Education and Labor, Energy and Commerce, Transportation and Infrastructure, Financial Services, Judiciary, Veterans' Affairs, Ways and Means, Foreign Affairs",Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Democrat,February,2022
